ID,template,header,text,COST,LOSS,DIECE_LOSS,PROFIT,DIECE_PROFIT,Joker_text_positive,Joker_text_negative
D01,DEFECT_EASY.svg,Радиопомехи,"Радиоэфир наполняется шипением. Протуберанцы бьют в антенну, и голос ЦУПа растворяется в гуле космоса.",2 ОД,-2 ОМ,"11,12",,,,
D02,DEFECT_EASY.svg,Засор фильтров,"Жизнеобеспечение дышит. Микроспоры пыли забивают фильтры. Воздух тяжелый, с метал. привкусом.",2 ОД,-2 ОМ,"1,2",,,,
D03,DEFECT_EASY.svg,Конденсат в цепях,"На стенках иней, капли стекают на контакты. Микроразряды озаряют тьму — система простужена.",1 ОД,-2 ОМ,4,,,,
D04,DEFECT_EASY.svg,Ошибка сенсоров,"«Навигация показывает два солнца!» — кричит пилот. Сенсоры сбились, и теперь корабль блуждает сре ди фантомных звёзд.",1 ОД,-2 ОМ,10,,,,
D05,DEFECT_EASY.svg,Коррозия соединений,Запах озона в отсеке. На стыках ржавчина. Вода после аварийного охлаждения разрушает корпус.,3 ОД,-1 ОМ,"1,12",,,,
D06,DEFECT_MEDIUM.svg,Сбой терморегуляции,"Температура скачет от жары до ледяного холода. Металл стонет, словно живой, — корпус расширяется и трещит.",2 ОД,-3 ОМ,"4,5",,,,
D07,DEFECT_MEDIUM.svg,Утечка топлива,Слышно лёгкое шипение. По трубопроводу ползёт капля — топливная смесь уходит в пустоту.,2 ОД,-3 ОМ,"9,10",,,,
D08,DEFECT_MEDIUM.svg,Сбой системы гравитации,"Ноги отрываются от пола. Предметы плывут. Половина экипажа ловит ужин, другая — сознание.",2 ОД,-2 ОМ,"5,6",,,,
D09,DEFECT_MEDIUM.svg,Перегруз процессора ИИ,Бортовой ИИ заикается: «Пр…оанализи…ро…вать… невоз…можно». Лампы мигают — корабль теряет душу.,2 ОД,-3 ОМ,"9,10,11",,,,
D10,DEFECT_MEDIUM.svg,Сбой магистрали питания,"Хлопок, и всё гаснет. Аварийное освещение рисует силуэты. Корабль похож на гробницу.",2 ОД,-3 ОМ,4–5,,,,
D11,DEFECT_HARD.svg,Разгерметизация отсека,"Сирена. Воздух уходит, предметы летят к пробоине. Экипаж кричит: «Закройте шлюз!»",2 ОД,-4 ОМ,"6,7,8",,,,
D12,DEFECT_HARD.svg,Короткое замыкание в реакторе,"Эл. дуга по стене, панели трещат, свет багровый — это не сбой, это угроза кораблю.",2 ОД,-4 ОМ,"5,7,9",,,,
D13,DEFECT_HARD.svg,Поломка кислородных резервов,"Индикаторы мигают. Кислород уходит быстрее, чем можно произвести. На борту слишком тихо.",3 ОД,-1 ОД,всегда,,,,
D14,DEFECT_HARD.svg,Сбой маневровых двигателей,Корабль теряет ориентацию. Движение — танец на лезвии: ошибка — и курс уводит в никуда.,2 ОД,-5 ОМ,"8,9,10",,,,
D15,DEFECT_SPECIAL.svg,Перегрузка энергоядра,"Реактор гудит как зверь. Энергия ищет выход — если не остудить ядро, корабль превратится в звезду.",3 ОД,Ход без прибыли,"4,5,6",,,,
D16,DEFECT_SPECIAL.svg,Отключение защитного экрана,Метеорит пробил корпус. Вспышка. Волна прошла по кабине. Отсек пропал с сенсоров — там пусто.,3 ОД,Минус фича,"6,7,8",,,,
D17,DEFECT_EXTREME.svg,Отказ навигационного ядра,"Звёзды за бортом дрожат, как в тумане. Корабль летит, но никто не знает — куда.",3 ОД,-5 ОМ,нечет.,,,,
D18,DEFECT_SPECIAL.svg,Поломка контроллера плазмы,"Разряд плазмы вспыхивает, как солнце в миниатюре. Всё кончается вспышкой и белым светом.",3 ОД,Конец игры,"5,9",,,,
